"rain_location","rain_datetime","replicate","analysis","concentration","data_qualifier","comments"
"BV",2011-09-10,1,"ClD_LACHAT",2.86,NA,"RAIN"
"BV",2011-09-10,1,"PO4D_LACHAT",0.069,NA,"RAIN"
"BV",2011-09-10,1,"PO4T_TRAACS",0.19,NA,"RAIN"
"BV",2011-11-05,1,"ClD_LACHAT",2.08,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-05,1,"DOC_TOC",5.358,NA,"RAIN"
"BV",2011-11-05,1,"NO3T_TOC_TN",0.808,NA,"RAIN"
"BV",2011-11-05,1,"NO3T_TRAACS",1.056,NA,"8.1.RAIN"
"BV",2011-11-05,1,"PO4D_LACHAT",0.0388,NA,"RAIN"
"BV",2011-11-05,1,"PO4T_TRAACS",0.11,NA,"RAIN"
"BV",2011-11-07,1,"ClD_LACHAT",0.857,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-07,1,"DOC_TOC",1.099,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-07,1,"NO3T_TOC_TN",0.436,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-07,1,"NO3T_TRAACS",0.467,NA,"8.1.RAIN"
"BV",2011-11-07,1,"PO4D_LACHAT",0.00582,NA,"RAIN"
"BV",2011-11-21,1,"ClD_LACHAT",1.57,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-11-21,1,"PO4D_LACHAT",-0.0496,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,1,"CaD_ICP",0.1128,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"BV",2011-12-13,1,"ClD_LACHAT",0.757,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,1,"NaD_ICP",0.2369,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"BV",2011-12-13,1,"NO3T_TRAACS",0.33,NA,"8.1.RAIN"
"BV",2011-12-13,1,"PO4D_LACHAT",0.00554,NA,"RAIN"
"BV",2011-12-13,1,"PO4T_TRAACS",0,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,1,"ZnD_ICP",0.0721,NA,NA
"BV",2011-12-13,2,"CaD_ICP",0.0892,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"BV",2011-12-13,2,"ClD_LACHAT",0.809,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,2,"NaD_ICP",-0.0162,"The reported value falls below the Method Detection Limits (MDL).  Note this flag is similar to X but the value reported is the analysis output, not the MDL.",NA
"BV",2011-12-13,2,"NO3T_TRAACS",0.406,NA,"8.2.RAIN"
"BV",2011-12-13,2,"PO4D_LACHAT",0.00474,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,2,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"BV",2011-12-13,2,"ZnD_ICP",0.0695,NA,NA
"BV",2012-07-30,1,"DOC_TOC",1.621,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","Rain"
"BV",2012-07-30,1,"NH4_LACHAT",0.95,NA,"Rain"
"BV",2012-07-30,1,"NO3D_LACHAT",0.54,NA,"Rain"
"BV",2012-07-30,1,"NO3T_TOC_TN",1.42,NA,"Rain"
"CB",2011-11-05,1,"ClD_LACHAT",1.93,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"CB",2011-11-05,1,"DOC_TOC",2.979,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"CB",2011-11-05,1,"NO3T_TOC_TN",1.275,NA,"RAIN"
"CB",2011-11-05,1,"NO3T_TRAACS",1.558,NA,"2.1.RAIN"
"CB",2011-11-05,1,"PO4D_LACHAT",0.0569,NA,"RAIN"
"CB",2011-11-05,1,"PO4T_TRAACS",0.25,NA,"RAIN"
"CB",2011-11-13,1,"ClD_LACHAT",1.4,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"CB",2011-11-13,1,"DOC_TOC",2.189,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"CB",2011-11-13,1,"NO3T_TOC_TN",1.215,NA,"RAIN"
"CB",2011-11-13,1,"NO3T_TRAACS",1.384,NA,"2.1.RAIN"
"CB",2011-11-13,1,"PO4D_LACHAT",0.035,NA,"RAIN"
"ENC",2011-11-05,1,"CaD_ICP",3.145,NA,NA
"ENC",2011-11-05,1,"ClD_LACHAT",1.68,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-05,1,"DOC_TOC",1.746,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-05,1,"NaD_ICP",1.311,NA,NA
"ENC",2011-11-05,1,"NO3T_TOC_TN",0.5603,NA,"RAIN"
"ENC",2011-11-05,1,"NO3T_TRAACS",0.942,NA,"12.1.RAIN"
"ENC",2011-11-05,1,"PO4D_LACHAT",0.0222,NA,"RAIN"
"ENC",2011-11-05,1,"PO4T_TRAACS",0.09,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-05,1,"ZnD_ICP",0.0088,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"ENC",2011-11-07,1,"ClD_LACHAT",0.914,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-07,1,"DOC_TOC",1.348,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-07,1,"NO3T_TOC_TN",0.501,NA,"RAIN"
"ENC",2011-11-07,1,"NO3T_TRAACS",0.52,NA,"12.1.RAIN"
"ENC",2011-11-07,1,"PO4D_LACHAT",-0.00063,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-13,1,"DOC_TOC",3.817,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-13,1,"NO3T_TOC_TN",1.197,NA,"RAIN"
"ENC",2011-11-13,1,"NO3T_TRAACS",1.736,NA,"12.1.RAIN"
"ENC",2011-11-21,1,"ClD_LACHAT",1.77,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-11-21,1,"NO3T_TRAACS",2.116,NA,"12.1.RAIN"
"ENC",2011-11-21,1,"PO4D_LACHAT",0.0223,NA,"RAIN"
"ENC",2011-12-13,1,"ClD_LACHAT",0.804,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-12-13,1,"NO3T_TRAACS",0.328,NA,"12.1.RAIN"
"ENC",2011-12-13,1,"PO4D_LACHAT",0.00646,NA,"RAIN"
"ENC",2011-12-13,1,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-12-13,2,"CaD_ICP",0.0038,"The reported value falls below the Method Detection Limits (MDL).  Note this flag is similar to X but the value reported is the analysis output, not the MDL.",NA
"ENC",2011-12-13,2,"ClD_LACHAT",0.505,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-12-13,2,"NaD_ICP",0.2933,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"ENC",2011-12-13,2,"NO3T_TRAACS",0.318,NA,"12.2.RAIN"
"ENC",2011-12-13,2,"PO4D_LACHAT",0.00461,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-12-13,2,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2011-12-13,2,"ZnD_ICP",0.0225,NA,NA
"ENC",2012-03-18,1,"ClD_LACHAT",1.24,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2012-03-18,1,"DOC_TOC",2.854,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2012-03-18,1,"NH4_LACHAT",0.436,NA,"RAIN"
"ENC",2012-03-18,1,"NO3D_LACHAT",0.0878,NA,"RAIN"
"ENC",2012-03-18,1,"NO3T_TOC_TN",0.5853,NA,"RAIN"
"ENC",2012-03-18,1,"PO4D_LACHAT",0.0321,NA,"RAIN"
"ENC",2012-03-18,1,"PO4T_TRAACS",0.08,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2012-03-18,2,"ClD_LACHAT",1.88,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"ENC",2012-03-18,2,"NH4_LACHAT",0.843,NA,"RAIN"
"ENC",2012-03-18,2,"NO3D_LACHAT",0.213,NA,"RAIN"
"ENC",2012-03-18,2,"PO4D_LACHAT",0.05,NA,"RAIN"
"ENC",2012-07-30,1,"DOC_TOC",2.048,NA,"RAIN"
"ENC",2012-07-30,1,"NH4_LACHAT",1.45,NA,"Rain"
"ENC",2012-07-30,1,"NO3D_LACHAT",0.53,NA,"Rain"
"ENC",2012-07-30,1,"NO3T_TOC_TN",1.926,NA,"RAIN"
"IBW",2011-09-13,1,"NO3T_TRAACS",4.982,NA,"11.1.RAIN"
"IBW",2011-11-05,1,"ClD_LACHAT",1.58,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-11-05,1,"DOC_TOC",3.168,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-11-05,1,"NO3T_TOC_TN",0.76,NA,"RAIN"
"IBW",2011-11-05,1,"NO3T_TRAACS",1.038,NA,"11.1.RAIN"
"IBW",2011-11-05,1,"PO4D_LACHAT",0.0466,NA,"RAIN"
"IBW",2011-11-05,1,"PO4T_TRAACS",0.43,NA,"RAIN"
"IBW",2011-11-07,1,"ClD_LACHAT",1.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-11-07,1,"DOC_TOC",1.339,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-11-07,1,"NO3T_TOC_TN",0.483,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-11-07,1,"NO3T_TRAACS",0.642,NA,"11.1.RAIN"
"IBW",2011-11-07,1,"PO4D_LACHAT",0.0156,NA,"RAIN"
"IBW",2011-11-13,1,"DOC_TOC",2.206,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-11-13,1,"NO3T_TOC_TN",1.116,NA,"RAIN"
"IBW",2011-11-13,1,"NO3T_TRAACS",1.268,NA,"11.1.RAIN"
"IBW",2011-12-13,2,"CaD_ICP",0.1653,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"IBW",2011-12-13,2,"ClD_LACHAT",0.761,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-12-13,2,"NaD_ICP",0.3934,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"IBW",2011-12-13,2,"NO3T_TRAACS",0.492,NA,"11.2.RAIN"
"IBW",2011-12-13,2,"PO4D_LACHAT",0.00859,NA,"RAIN"
"IBW",2011-12-13,2,"PO4T_TRAACS",-0.01,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"IBW",2011-12-13,2,"ZnD_ICP",0.0234,NA,NA
"IBW",2012-03-18,1,"ClD_LACHAT",2.93,NA,"RAIN"
"IBW",2012-03-18,1,"DOC_TOC",27.76,NA,"RAIN"
"IBW",2012-03-18,1,"NH4_LACHAT",1.68,NA,"RAIN"
"IBW",2012-03-18,1,"NO3D_LACHAT",0.28,NA,"RAIN"
"IBW",2012-03-18,1,"NO3T_TOC_TN",2.006,NA,"RAIN"
"IBW",2012-03-18,1,"NO3T_TRAACS",3.745,NA,"11.1.RAIN"
"IBW",2012-03-18,1,"PO4D_LACHAT",0.119,NA,"RAIN"
"KP",2010-09-22,2,"NO3D_LACHAT",0.23,"Data is considered to be rejected and shall not be used. Quality control criteria failed such that it can not be determined if the analyte is present or absent. Resampling and analysis are necessary to confirm or deny the presence of the analyte. ","Blank"
"KP",2011-11-05,1,"ClD_LACHAT",8.27,NA,"RAIN"
"KP",2011-11-05,1,"DOC_TOC",43.14,NA,"RAIN"
"KP",2011-11-05,1,"NO3T_TOC_TN",7.592,NA,"RAIN"
"KP",2011-11-05,1,"NO3T_TRAACS",7.804,NA,"1.1.RAIN"
"KP",2011-11-05,1,"PO4D_LACHAT",0.567,NA,"RAIN"
"KP",2011-11-05,1,"PO4T_TRAACS",2.11,NA,"RAIN"
"KP",2011-11-13,1,"ClD_LACHAT",1.8,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"KP",2011-11-13,1,"DOC_TOC",4.037,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"KP",2011-11-13,1,"NO3T_TOC_TN",1.335,NA,"RAIN"
"KP",2011-11-13,1,"NO3T_TRAACS",1.446,NA,"1.1.RAIN"
"KP",2011-11-13,1,"PO4D_LACHAT",0.0341,NA,"RAIN"
"KP",2011-12-13,1,"ClD_LACHAT",0.897,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"KP",2011-12-13,1,"NO3T_TRAACS",0.988,NA,"1.1.RAIN"
"KP",2011-12-13,1,"PO4D_LACHAT",-0.00466,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"KP",2011-12-13,1,"PO4T_TRAACS",0.02,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"KP",2011-12-13,2,"CaD_ICP",0.1663,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"KP",2011-12-13,2,"ClD_LACHAT",1,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"KP",2011-12-13,2,"DOC_TOC",2.232,NA,NA
"KP",2011-12-13,2,"NaD_ICP",0.1656,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"KP",2011-12-13,2,"NO3T_TOC_TN",0.4867,NA,NA
"KP",2011-12-13,2,"NO3T_TRAACS",0.554,NA,"1.2.RAIN"
"KP",2011-12-13,2,"PO4D_LACHAT",0.0167,NA,"RAIN"
"KP",2011-12-13,2,"PO4T_TRAACS",0.02,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"KP",2011-12-13,2,"ZnD_ICP",0.015,NA,NA
"KP",2012-03-18,1,"ClD_LACHAT",3.7,NA,"RAIN"
"KP",2012-03-18,1,"DOC_TOC",14.16,NA,"RAIN"
"KP",2012-03-18,1,"NH4_LACHAT",1.3,NA,"RAIN"
"KP",2012-03-18,1,"NO3D_LACHAT",0.561,NA,"RAIN"
"KP",2012-03-18,1,"NO3T_TOC_TN",3.467,NA,"RAIN"
"KP",2012-03-18,1,"PO4D_LACHAT",0.307,NA,"RAIN"
"KP",2012-07-04,1,"NH4_LACHAT",3.5,NA,"Rain. Above the high std."
"KP",2012-07-04,1,"NO3D_LACHAT",2.17,NA,"Rain"
"KP",2012-07-04,1,"NO3T_TRAACS",12.6,NA,"Rain"
"LM",2011-11-05,1,"ClD_LACHAT",1.89,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-11-05,1,"DOC_TOC",1.735,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-11-05,1,"NO3T_TOC_TN",0.509,NA,"RAIN"
"LM",2011-11-05,1,"NO3T_TRAACS",0.876,NA,"9.1.RAIN"
"LM",2011-11-05,1,"PO4D_LACHAT",0.0338,NA,"RAIN"
"LM",2011-11-05,1,"PO4T_TRAACS",0.1,NA,"RAIN"
"LM",2011-11-07,1,"ClD_LACHAT",1.07,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-11-07,1,"NO3T_TRAACS",0.559,NA,"9.1.RAIN"
"LM",2011-11-07,1,"PO4D_LACHAT",0.015,NA,"RAIN"
"LM",2011-11-13,1,"ClD_LACHAT",1.58,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-11-13,1,"DOC_TOC",3.295,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-11-13,1,"NO3T_TOC_TN",1.045,NA,"RAIN"
"LM",2011-11-13,1,"NO3T_TRAACS",1.284,NA,"9.1.RAIN"
"LM",2011-11-13,1,"PO4D_LACHAT",0.029,NA,"RAIN"
"LM",2011-11-21,1,"ClD_LACHAT",2.35,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-11-21,1,"PO4D_LACHAT",0.0526,NA,"RAIN"
"LM",2011-12-13,1,"CaD_ICP",0.095,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"LM",2011-12-13,1,"ClD_LACHAT",0.612,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-12-13,1,"NaD_ICP",0.1003,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.",NA
"LM",2011-12-13,1,"NO3T_TRAACS",0.46,NA,"9.1.RAIN"
"LM",2011-12-13,1,"PO4D_LACHAT",0.00794,NA,"RAIN"
"LM",2011-12-13,1,"PO4T_TRAACS",0,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-12-13,1,"ZnD_ICP",0.0265,NA,NA
"LM",2011-12-13,1,"ClD_LACHAT",0.812,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN; replicate number uncertain"
"LM",2011-12-13,2,"ClD_LACHAT",0.749,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2011-12-13,2,"NO3T_TRAACS",0.394,NA,"9.2.RAIN"
"LM",2011-12-13,1,"PO4D_LACHAT",0.00634,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN; replicate number uncertain"
"LM",2011-12-13,2,"PO4D_LACHAT",0.0132,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2012-03-18,1,"ClD_LACHAT",1.17,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2012-03-18,1,"DOC_TOC",2.183,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2012-03-18,1,"NH4_LACHAT",0.414,NA,"RAIN"
"LM",2012-03-18,1,"NO3D_LACHAT",0.1,NA,"RAIN"
"LM",2012-03-18,1,"NO3T_TOC_TN",0.581,NA,"RAIN"
"LM",2012-03-18,1,"PO4D_LACHAT",0.0243,NA,"RAIN"
"LM",2012-03-18,1,"PO4T_TRAACS",0.08,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"LM",2012-03-18,2,"ClD_LACHAT",7.36,NA,"RAIN"
"LM",2012-03-18,2,"NH4_LACHAT",1.01,NA,"RAIN"
"LM",2012-03-18,2,"NO3D_LACHAT",0.201,NA,"RAIN"
"LM",2012-03-18,2,"PO4D_LACHAT",0.398,NA,"RAIN"
"LM",2012-07-30,1,"DOC_TOC",12.1,NA,"RAIN"
"LM",2012-07-30,1,"NH4_LACHAT",0.82,NA,"Rain"
"LM",2012-07-30,1,"NO3D_LACHAT",0.42,NA,"Rain"
"LM",2012-07-30,1,"NO3T_TOC_TN",1.582,NA,"RAIN"
"MR",2011-11-05,1,"ClD_LACHAT",2.07,"The reported results fall between the Method Detection Limits (MDL) and the Method Quantitation Limits (MQL) with qualification for quantitation.","RAIN"
"MR",2011-11-05,1,"DOC_TOC",10.1,NA,"RAIN"
"MR",2011-11-05,1,"NO3T_TOC_TN",1.347,NA,"RAIN"
"MR",2011-11-05,1,"NO3T_TRAACS",1.692,NA,"5.1.RAIN"
"MR",2011-11-05,1,"PO4D_LACHAT",0.0474,NA,"RAIN"
"MR",2011-11-05,1,"PO4T_TRAACS",0.58,NA,"RAIN"
